TARGETID,Class,Mean_mag,Fvar_percent,N,Time_span,oid_n,n_outlier,n_near_limit,max_magerr,reason_tag,lc_file,qc_png,outliers_csv
39627685130930743,Composite,19.95264435,35.20775719361816,58,2244.9296875,1,2,3,0.199419752,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627685130930743_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627685130930743_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627685130930743_outliers_tagged.csv
1083386139508745,Composite,19.0026417,34.73552824726228,99,2599.01728,1,1,0,0.128419518,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\1083386139508745_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\1083386139508745_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\1083386139508745_outliers_tagged.csv
2846900617216004,Composite,20.3250637,32.99565594289858,58,2174.139259199997,1,1,11,0.227047086,near_limitmag|large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2846900617216004_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2846900617216004_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2846900617216004_outliers_tagged.csv
39628087100446154,Composite,18.2068186,32.74231053552176,54,2509.1322916000063,1,0,0,0.0602624305,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39628087100446154_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39628087100446154_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39628087100446154_outliers_tagged.csv
39627684887662299,Composite,16.995828600000003,31.29664692465772,306,2770.2728124999994,1,5,1,0.02980824,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627684887662299_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627684887662299_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627684887662299_outliers_tagged.csv
39627660980129350,Composite,18.0332928,30.102494233571083,127,2603.970208300001,1,4,0,0.0583797507,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627660980129350_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627660980129350_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627660980129350_outliers_tagged.csv
2402629695045634,Composite,19.3237705,29.403157050971867,85,2325.746134300003,1,0,1,0.12268047,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2402629695045634_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2402629695045634_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2402629695045634_outliers_tagged.csv
39627849119828387,Composite,19.1217461,28.307950167412137,367,2717.798599499998,1,0,2,0.108328447,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627849119828387_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627849119828387_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627849119828387_outliers_tagged.csv
39627915092037533,Composite,19.6709328,28.02338910631049,110,2625.9852315000026,1,3,1,0.145400524,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627915092037533_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627915092037533_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627915092037533_outliers_tagged.csv
39627607695694120,Composite,17.5540123,27.82821522300404,306,2659.8612614999947,1,4,0,0.0349180661,real_candidate,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627607695694120_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627607695694120_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627607695694120_outliers_tagged.csv
1083386139508744,Composite,18.4718304,27.281836586511183,511,2621.9517939,1,7,0,0.0788399577,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\1083386139508744_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\1083386139508744_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\1083386139508744_outliers_tagged.csv
2402716785573889,Composite,18.4982834,26.92367364360725,244,2709.816886600005,1,5,0,0.0676642731,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2402716785573889_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2402716785573889_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2402716785573889_outliers_tagged.csv
2389666972041216,Composite,19.25050165,26.77838495530019,70,2580.9593981999933,1,0,1,0.160478204,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2389666972041216_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2389666972041216_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2389666972041216_outliers_tagged.csv
39628268273403216,Composite,20.7546749,26.680200412606435,246,2690.8002314999976,1,7,33,0.237953544,near_limitmag|large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39628268273403216_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39628268273403216_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39628268273403216_outliers_tagged.csv
39627415592378540,Composite,17.3881359,26.560598567213606,388,2612.005289400004,1,3,0,0.0364553258,real_candidate,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39627415592378540_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627415592378540_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39627415592378540_outliers_tagged.csv
39633062107021800,Composite,20.7315178,26.22480787633616,57,2217.0193287,1,0,7,0.250816107,near_limitmag|large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39633062107021800_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39633062107021800_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39633062107021800_outliers_tagged.csv
