TARGETID,Class,N,Time_span,Mean_mag,Fvar_percent
2851578780319744,LINER,82,2494.0908912000014,15.88908955,12.270911909900988
2842628454350850,LINER,68,2495.154212900001,14.9115601,12.170842503187137
39627629090838358,LINER,68,1918.888391200002,17.305667900000003,12.085973498479587
39627897211720964,LINER,37,2103.227291700001,16.0236053,11.969002452462217
39633434770935577,LINER,68,1937.8917361000056,17.877388,11.806946704314832
39627830299987867,LINER,255,2658.8775810000006,17.6193638,11.789092674770952
39627695272758778,LINER,71,1908.892013900004,17.3044243,11.68108945508468
39633335793748044,LINER,754,2660.861562500002,18.2521362,11.599110440111032
39633454026984991,LINER,756,2732.655381999997,17.309146900000002,11.3445629308759
2842782808932360,LINER,70,2501.0892477000016,14.59190845,11.253424676966125
39627576393601273,LINER,31,1843.976122699998,16.1566277,11.20667913687
39628278994043978,LINER,693,2641.9419444000014,16.6136417,11.190578672224625
39627660887855018,LINER,347,2752.298090299999,16.7869225,11.08569232977836
39633364872856074,Seyfert,68,2041.7513541999945,18.43487355,32.9199618296755
39627780798813122,Seyfert,62,2495.154212900001,17.5652609,26.36272836547334
39627691707600049,Seyfert,54,2047.2710762999995,18.7881565,22.869432964950818
39627751270910889,Seyfert,261,2770.2728124999994,16.5823135,22.78131284718682
39627766324272013,Seyfert,524,2698.849004699994,18.07958695,21.913118109748336
39627666248175962,Seyfert,334,2586.997071699996,18.17649075,21.12917998150258
39627781142742738,Seyfert,45,1832.9980555999937,19.0166874,20.40428734968595
39628393095890965,Seyfert,114,2519.971377300004,18.75590035,19.49141813000792
39632980666220844,Seyfert,750,2752.270405100004,18.6295328,18.945320911270414
39627738520229298,Seyfert,36,2495.1369791000034,17.7095833,18.87686908067461
39627654835471838,Seyfert,369,2617.990706000004,17.6286125,17.758687402817667
39627702541485518,Seyfert,504,2580.077372699998,18.7468615,17.71310585750479
39633271214050181,Seyfert,32,1404.1871065000014,17.3178406,17.209715314850097
39633333029703007,Seyfert,58,2145.165786999998,19.2232151,16.960875227932483
39627651693940687,Seyfert,506,2698.849004699994,18.5936136,16.93844507805814
39633029458560082,Seyfert,46,2503.1278704,18.024341550000003,16.804032846637313
39627462178513104,Seyfert,368,2643.831192100006,18.2811146,16.02538180216279
39628048483483827,Seyfert,828,2724.6614236000023,18.62313935,15.97997299119666
39627670949990497,Seyfert,67,1901.870069500001,16.7589684,15.648418031720146
2305843021159071989,Seyfert,46,2244.009074099995,16.10610485,15.643336841388397
39633328764093505,Seyfert,47,2062.149432899998,16.867382,15.624232018114018
39628389060968512,Seyfert,127,2502.1263772999955,16.037817,15.578656320280771
39633499719730834,Seyfert,790,2651.026296299998,17.99012565,15.394793148426649
39627930254445506,Seyfert,67,2502.045659700001,17.5318604,15.361799173809148
39633493688321944,Seyfert,45,1867.911932899995,16.2750072,15.104724112406473
39628039235044623,Seyfert,976,2751.3237268999947,17.36559675,15.04409849047159
39628206927515687,Seyfert,1294,2696.709976799997,17.25019455,14.978557988005136
39633292642750186,Seyfert,81,2471.1484954000043,17.8664513,14.93208738645048
39627433137145074,Seyfert,398,2612.005289400004,17.0458298,14.346163173400967
39633271570564353,Seyfert,53,2028.7944676000045,15.7823162,14.19943561258948
2842502247743492,Star-forming,31,2578.041979200003,20.0763531,69.48414749257398
2402721722269698,Star-forming,144,2748.318946699997,19.7226324,47.83161014446252
2390375691976711,Star-forming,107,2695.3397337999995,20.2053051,41.60075695115916
39627684245936360,Star-forming,55,2536.9236574000024,20.3767338,40.31008333611599
39627779322420534,Star-forming,35,2608.0232639000023,19.0590973,39.490458150000094
39628199595871779,Star-forming,490,2691.8170255000005,19.81021785,34.37156898296794
39628170957164391,Star-forming,33,2729.6931480999992,19.315403,33.82254740873984
39627827544332554,Star-forming,370,2640.990057800001,19.66640185,33.484439047053776
39636377209405702,Star-forming,82,2598.9270023000063,20.315176,33.30054042841091
39627648879563446,Star-forming,54,2344.6692823999983,19.6936264,33.108470339223324
39627743360453625,Star-forming,59,2624.024560099999,19.2510452,33.03534335215984
39627841934987333,Star-forming,37,2140.1197569,19.5419312,32.934182932814146
39627796581978622,Star-forming,82,2665.834722200001,19.1914549,32.684679699914966
39633015034350241,Star-forming,161,2182.132615800001,19.6941185,30.97344584688053
39628051717295008,Star-forming,89,2574.088009300001,19.8093834,29.548241935157037
39627557301126813,Star-forming,434,2617.8526388000028,19.0229454,28.901814002152665
39633501561033054,Star-forming,393,2752.3023147999997,18.1564217,28.674126066410555
39627660980129405,Star-forming,163,2617.9742361000026,18.1011734,28.586254341865004
39627684405315792,Star-forming,263,2750.2847336999985,18.8697472,28.48392698604542
39628110232028304,Star-forming,74,2502.1244675999988,18.82379535,28.375096593244137
39627587084882751,Star-forming,219,2629.8734027000028,19.9718094,28.092745997088244
39633521332980375,Star-forming,39,1846.9504166999975,18.7612858,28.00648505916935
39627899237567999,Star-forming,67,2006.6677198999969,19.3723259,27.70925898180377
39627666206233361,Star-forming,444,2743.3206944999984,19.08228115,27.69478074008511
39633029412424380,Star-forming,63,2141.1178240999943,18.6007156,27.22375647609528
39628060235926755,Star-forming,56,2422.169976899997,18.0386543,26.836763482755053
39627497381301744,Star-forming,734,2625.8313542000037,18.2497387,26.738268057177056
39627720602159578,Star-forming,45,2472.049664399994,19.5705853,26.6785006594778
39628007802930852,Star-forming,328,2633.957523099998,19.48627475,26.326793849135534
39627676431949041,Star-forming,58,1897.8548611000008,18.71655945,26.323794992768214
